x,y,z,data
1850,450,154.8125,0
1950,450,154.8125,0
2050,450,154.8125,1.23136461
2150,450,154.8125,1.51122105
2250,450,154.8125,1.244102
2350,450,154.8125,0.987493336
2450,450,154.8125,1.9926194
2550,450,154.8125,2.27999997
2650,450,154.8125,0.553292871
2750,450,154.8125,0
2850,450,154.8125,9.44E-02
2950,450,154.8125,0.258858293
3050,450,154.8125,0.257572323
3150,450,154.8125,0.2234056
3250,450,154.8125,0.209082708
3350,450,154.8125,0.213298693
3450,450,154.8125,0.229848251
3550,450,154.8125,0.223965406
3650,450,154.8125,0.122432925
3750,450,154.8125,0
3850,450,154.8125,0
3950,450,154.8125,0.895505011
4050,450,154.8125,1.33388567
4150,450,154.8125,1.22023404
4250,450,154.8125,1.26610637
4350,450,154.8125,1.57616401
4450,450,154.8125,1.49273884
4550,450,154.8125,0.534540176
4650,450,154.8125,0.139201447
4750,450,154.8125,0.276309192
4850,450,154.8125,0.199823007
4950,450,154.8125,0.122722887
5050,450,154.8125,8.31E-02
5150,450,154.8125,6.63E-02
5250,450,154.8125,5.61E-02
5350,450,154.8125,4.62E-02
5450,450,154.8125,3.85E-02
5550,450,154.8125,3.24E-02
5650,450,154.8125,3.28E-02
5750,450,154.8125,3.67E-02
5850,450,154.8125,3.30E-02
5950,450,154.8125,7.04E-02
50,50,254.6875,1.07225823
150,50,254.6875,0.628979266
250,50,254.6875,0.25813359
350,50,254.6875,0.140921623
450,50,254.6875,0.149039373
550,50,254.6875,0.163053334
650,50,254.6875,0.113310628
750,50,254.6875,0
850,50,254.6875,0
950,50,254.6875,0
1050,50,254.6875,0
1150,50,254.6875,0.92690742
1250,50,254.6875,2.13818598
1350,50,254.6875,2.04966927
1450,50,254.6875,1.94477105
1550,50,254.6875,2.16821456
1650,50,254.6875,1.85818672
1750,50,254.6875,0.574825346
1850,50,254.6875,0
1950,50,254.6875,0
2050,50,254.6875,0.978785813
2150,50,254.6875,1.59784293
2250,50,254.6875,1.55802059
2350,50,254.6875,1.63868117
2450,50,254.6875,2.27999997
2550,50,254.6875,2.27999997
2650,50,254.6875,0.962742031
2750,50,254.6875,0
2850,50,254.6875,0
2950,50,254.6875,0.220049307
3050,50,254.6875,0.356880665
3150,50,254.6875,0.374479502
3250,50,254.6875,0.363981545
3350,50,254.6875,0.357027024
